Provincia,Cantidad_Hechos
Santa Cruz,1869
Santa Cruz,1547
Santa Cruz,1961
Santa Cruz,24
Santa Cruz,8
Santa Cruz,17
Santa Cruz,11
Santa Cruz,215
Santa Cruz,242
Santa Cruz,12
Santa Cruz,154
Santa Cruz,154
Santa Cruz,267
Santa Cruz,267
Santa Cruz,34
Santa Cruz,313
Santa Cruz,31
Santa Cruz,17
Santa Cruz,21
Santa Cruz,39
Santa Cruz,33
Santa Cruz,38
Santa Cruz,1
Santa Fe,231
Santa Fe,1815
Santa Fe,233
Santa Fe,580
Santa Fe,654
Santa Fe,34
Santa Fe,16
Santa Fe,5
Santa Fe,13
Santa Fe,38
Santa Fe,23
Santa Fe,89
Santa Fe,335
Santa Fe,351
Santa Fe,383
Santa Fe,138
Santa Fe,115
Santa Fe,119
Santa Fe,13190
Santa Fe,8389
Santa Fe,9373
Santa Fe,302
Santa Fe,644
Santa Fe,34
Santa Fe,11329
Santa Fe,336
Santa Fe,3075
Santa Fe,366
Santa Fe,270
Santa Fe,281
Santa Fe,811
Santa Fe,2651
Santa Fe,2722
Santa Fe,522
Santa Fe,487
Santa Fe,467
Santa Fe,972
Santa Fe,836
Santa Fe,670
Santa Fe,618
Santa Fe,1782
Santa Fe,2008
Santa Fe,1225
Santa Fe,368
Santa Fe,328
Santa Fe,382
Santa Fe,50
Santa Fe,116
Santa Fe,4
Santa Fe,20
Santa Fe,20
Santa Fe,48
Santiago del Estero,2
Santiago del Estero,466
Santiago del Estero,33
Santiago del Estero,13
Santiago del Estero,61
Santiago del Estero,3
Santiago del Estero,28
Santiago del Estero,35
Santiago del Estero,66
Santiago del Estero,1
Santiago del Estero,1
Santiago del Estero,37
Santiago del Estero,37
Santiago del Estero,34
Santiago del Estero,70
Santiago del Estero,46
Santiago del Estero,16
Santiago del Estero,308
Santiago del Estero,116
Santiago
