provincia_id;provincia_nombre;anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
2;Buenos Aires;2020;10;Lesiones culposas por otros hechos;118;448;180;263;5;2.3829694;2.5539958;2.0911906;2.9439406
2;Buenos Aires;2023;10;Lesiones culposas por otros hechos;377;147;478;660;9;5.9702291;6.3582664;53.911.278;7.193.925
2;Buenos Aires;2018;11;Lesiones dolosas;33481;36338;18865;15809;1664;194.69777;211.31172;223.7355;180.37404
2;Buenos Aires;2020;11;Lesiones dolosas;41199;47930;2344;25137;1749;251.97334;273.24335;24.448.311;281.37579
2;Buenos Aires;2023;11;Lesiones dolosas;63606;68363;25645;40884;1834;352.59274;378.96265;289.39835;445.45551
2;Buenos Aires;2018;12;Muertes en accidentes viales;148;1269;972;288;9;6.6758175;7.3794532;11.527745;3.2859588
2;Buenos Aires;2020;12;Muertes en accidentes viales;676;717;546;117;54;3.8537972;4.0875335;6.3432779;1.3096619
2;Buenos Aires;2023;12;Muertes en accidentes viales;979;390;802;274;4;5.4269772;6.0422931;9.0503988;2.985393
2;Buenos Aires;2018;13;Otros delitos contra la integridad sexual;448;1584;218;1326;40;8.4203691;9.2112322;2.5854409;1.512.933
2;Buenos Aires;2020;13;Otros delitos contra la integridad sexual;7633;9401;1293;7883;225;4.354.843;53.594006;15.021719;88.239861
2;Buenos Aires;2023;13;Otros delitos contra la integridad sexual;13135;15599;2159;13313;127;72.812401;86.471313;24.363853;4.505.305
2;Buenos Aires;2023;13;Otros delitos contra la integridad sexual;8616;3073;428;8593;52;47.761833;55.838547;1.614.676;93.625847
2;Buenos Aires;2018;14;Otros delitos contra la libertad;2808;3007;356;1289;662;16.329002;17.486221;12.523971;4.706.948
2;Buenos Aires;2018;14;Otros delitos contra la libertad;2798;2990;355;1277;658;16.270851;17.387363;12.512111;4.570.033
2;Buenos Aires;2020;14;Otros delitos contra la libertad;3115;3697;1328;1788;581;19.468517;21.076166;15.428339;2.004.318
2;Buenos Aires;2020;14;Otros delitos contra la libertad;3406;3677;1322;1777;578;1.911.721;2.096.249;15.358633;19.891188
2;Buenos Aires;2023;14;Otros delitos contra la libertad;4787;5127;1633;2966;528;26.5362;28.420952;18.428057;32.316334
